Problem,Win Length,Extra Routes,Times,Dist,Dels/route,Len Route,Time Route
B-n39-k5,12,0.12,1853.9,1895.576048,6.785714286,49.88358021,48.78684211
B-n41-k6,12,0.333333333,2502.5,2651.329644,5,66.28324109,62.5625
B-n43-k6,12,0.05,2346.9,2534.764349,6.666666667,60.35153211,55.87857143
B-n44-k7,12,0.114285714,2752.4,2894.857117,5.512820513,67.32225854,64.00930233
B-n45-k5,12,0.4,2376.5,2593.098072,6.285714286,58.9340471,54.01136364
B-n45-k6,12,0.283333333,2316.7,2402.150165,5.714285714,54.59432194,52.65227273
B-n50-k7,12,0.071428571,2545.9,2721.226435,6.533333333,55.53523338,51.95714286
B-n50-k8,12,0.1875,3822.5,4219.223434,5.157894737,86.1066007,78.01020408
B-n51-k7,12,0.3,3393.4,3595.835857,5.494505495,71.91671714,67.868
B-n52-k7,12,0.171428571,2873.1,3102.207912,6.219512195,60.82760612,56.33529412
B-n56-k7,12,0.785714286,2885.4,3031.976939,4.4,55.12685344,52.46181818
B-n57-k7,12,0.185714286,4397.4,4992.734554,6.746987952,89.15597418,78.525
B-n57-k9,12,0.022222222,4852.7,5367.592121,6.086956522,95.84985931,86.65535714
B-n63-k10,12,0.17,5512.3,6242.376254,5.299145299,100.683488,88.90806452
B-n64-k9,12,0.544444444,3540,3635.669644,4.532374101,57.70904197,56.19047619
B-n66-k9,12,0.288888889,5033,5616.981322,5.603448276,86.41509726,77.43076923
B-n67-k10,12,0.08,3844.3,4021.107437,6.111111111,60.92587025,58.2469697
B-n68-k9,12,0.155555556,5268.7,5967.054292,6.442307692,89.06051183,78.63731343
B-n78-k10,12,0.46,5242.9,5847.017133,5.273972603,75.93528744,68.08961039
B-n31-k5,13,0.02,1598.6,1676.393453,5.882352941,55.87978177,53.28666667
B-n34-k5,13,0.22,2196,2356.879097,5.409836066,71.42057868,66.54545455
B-n35-k5,13,0,2553.5,2839.821688,6.8,83.5241673,75.10294118
B-n38-k6,13,0.033333333,2161.9,2345.737751,5.967741935,63.3983176,58.42972973
B-n39-k5,13,0.12,1847.2,1988.357029,6.785714286,52.32518499,48.61052632
B-n41-k6,13,0.1,2271.4,2481.510418,6.060606061,62.03776046,56.785
B-n43-k6,13,0.2,2360.6,2594.928437,5.833333333,61.78401039,56.2047619
B-n44-k7,13,0.371428571,2849.8,3041.813757,4.479166667,70.73985481,66.2744186
B-n45-k5,13,0.48,2336.4,2544.555983,5.945945946,57.8308178,53.1
B-n45-k6,13,0.25,2154.3,2296.811405,5.866666667,52.20025921,48.96136364
B-n50-k7,13,0.228571429,2587.4,2787.596208,5.697674419,56.88971852,52.80408163
B-n50-k8,13,0.1125,3646.7,4069.609857,5.505617978,83.05326239,74.42244898
B-n51-k7,13,0.2,3347.7,3698.536448,5.952380952,73.97072896,66.954
B-n52-k7,13,0.228571429,2714.8,2946.816928,5.930232558,57.78072409,53.23137255
B-n56-k7,13,0.642857143,2775.4,2920.646236,4.782608696,53.10265883,50.46181818
B-n57-k7,13,0.357142857,4296.2,4868.298088,5.894736842,86.93389442,76.71785714
B-n57-k9,13,0.011111111,4820.2,5427.691607,6.153846154,96.92306442,86.075
B-n63-k10,13,0.26,5561.8,6251.91103,4.920634921,100.8372747,89.70645161
B-n64-k9,13,0.277777778,3189.3,3437.026458,5.47826087,54.55597552,50.62380952
B-n66-k9,13,0.177777778,5051.4,5757.887246,6.132075472,88.58288071,77.71384615
B-n67-k10,13,0.08,3708.1,4090.451849,6.111111111,61.97654317,56.18333333
B-n68-k9,13,0.088888889,5178.5,5916.262255,6.836734694,88.30242171,77.29104478
B-n78-k10,13,0.23,5137.9,5891.898552,6.260162602,76.51816301,66.72597403
B-n31-k5,14,0.04,1684,1768.961231,5.769230769,58.96537436,56.13333333
B-n34-k5,14,0.12,2113.2,2285.095291,5.892857143,69.24531186,64.03636364
B-n35-k5,14,0.08,2518.4,2749.275931,6.296296296,80.8610568,74.07058824
B-n38-k6,14,0.033333333,2147.3,2328.62843,5.967741935,62.93590351,58.03513514
B-n39-k5,14,0.18,1831.9,1959.912731,6.440677966,51.57665083,48.20789474
B-n41-k6,14,0.383333333,2390.6,2573.874706,4.819277108,64.34686764,59.765
