FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
884.0,3.725174689272864,381.6,380.9272126586058,506249.777086464,0.1334841628959276,0.17951712399786224,4,5,
1016.0,3.994021507550643,311.4,437.9575063373843,587367.1972966631,0.10180995475113122,0.09970709430119962,2,6,
1196.0,4.223315140466107,221.8,448.9052920860189,596320.5581095959,0.13122171945701358,0.18315592967646957,3,7,
656.0,3.3367883864322594,318.8,500.0604668030588,677004.9396718333,0.0,0.0,0,4,
1000.0,4.230515549723397,386.00000000000006,483.88787297774155,651828.07172131,0.038461538461538464,0.05562758522772984,1,6,
1212.0,4.302876245702833,261.20000000000005,428.6713006006519,570449.0794392929,0.21945701357466063,0.16886350598104888,4,7,
688.0,3.472125702808094,329.0,517.6795606411777,687154.8307304707,0.22624434389140272,0.18918593043699863,2,4,
1212.0,4.483318333618317,312.80000000000007,456.8267034592958,609365.1908491644,0.2149321266968326,0.14884504183058492,4,7,
868.0,3.670160954373462,424.0,330.2111418330703,429295.6913109813,0.19004524886877827,0.3261516701130312,3,5,
1408.0,4.857664040563284,413.2,325.88750592897173,420074.41309325735,0.1832579185520362,0.37045044895157847,6,8,
868.0,3.7055291060133113,418.40000000000003,351.44386485788334,459191.7667368325,0.18552036199095023,0.297355048169038,3,5,
1572.0,5.130213152978674,321.6000000000001,373.95421361657384,493310.1944505188,0.18778280542986425,0.23519656545137482,6,9,
1556.0,5.608487676240455,492.8,430.15155289828095,563300.905280273,0.17873303167420815,0.2835882225981569,5,9,
688.0,3.4684642806079045,399.8,445.26121202869376,587912.6070827796,0.167420814479638,0.2287371632714147,2,4,
1032.0,4.205784053600168,376.00000000000006,450.9565516912743,596686.2209070434,0.12217194570135746,0.21344717538048585,3,6,
1016.0,4.146400049735711,356.20000000000005,460.5088219831844,608546.3892275537,0.1493212669683258,0.22281482247295617,2,6,
1540.0,5.365557314207397,373.2,458.37633287966935,604317.0000941653,0.12217194570135746,0.23936412085425474,4,9,
868.0,3.629718695029776,424.40000000000003,311.9356632031609,402268.5480293116,0.2918552036199095,0.36828441959248226,3,5,
1244.0,4.713261322252066,510.4000000000001,328.861504435413,426584.2810802328,0.2149321266968326,0.33833606623105283,6,7,
884.0,3.8058610028325663,449.80000000000007,348.39056325199414,452123.6221299661,0.21040723981900453,0.33587778485046504,4,5,
1572.0,5.042028829283015,293.0,363.5767425430927,477468.8633541993,0.2239819004524887,0.2655893021638182,6,9,
1652.0,5.70167611663357,498.7999999999999,369.340843552038,474880.60182948026,0.332579185520362,0.38257957063812076,11,9,
704.0,3.769674604297159,507.6000000000001,454.5961750993442,582279.4856230051,0.2986425339366516,0.39996729724227653,3,4,
752.0,3.516301262451294,357.00000000000006,445.2051580034719,585324.4541457628,0.31221719457013575,0.2582172840441369,6,4,
1228.0,4.607294556897893,359.8,448.6241941488687,590334.2958540876,0.251131221719457,0.2523915071115321,5,7,
884.0,3.7867057577928755,332.4,457.3239449444509,603477.9148162506,0.2239819004524887,0.23299471771771643,4,5,
1228.0,4.486624469226612,298.4000000000001,456.6880153981623,604455.1290154074,0.27601809954751133,0.2111703667281755,5,7,
1620.0,5.812195211433142,477.20000000000005,471.7902834534484,614956.6698913109,0.248868778280543,0.311452566096982,9,9,
932.0,3.941379350287722,440.20000000000005,369.8896728271729,475753.5454567875,0.40497737556561086,0.3809238029945189,7,5,
1652.0,5.40234538173027,395.4,340.4366587247793,437475.4857366799,0.4298642533936652,0.38516139189007015,11,9,
816.0,3.908997857855453,420.80000000000007,490.9770531721104,633715.4542968463,0.4253393665158371,0.36394460046490157,10,4,
1504.0,5.380040871737303,413.40000000000003,460.57806530788775,592972.5559655869,0.4253393665158371,0.376310883295358,12,8,
1636.0,5.674545362291755,397.00000000000006,475.1490501329558,611777.139668105,0.4434389140271493,0.3759576573366978,10,9,
736.0,3.327335389763518,453.8,280.88224227547494,353220.15874508966,0.29638009049773756,0.47258454861409666,5,4,
1620.0,5.347936842607147,446.20000000000005,297.58808443235904,378393.13369177445,0.3574660633484163,0.43097812281420617,9,9,
1588.0,5.6164380412278145,568.0,326.46561422269434,416574.1437336308,0.2873303167420814,0.4164582042880432,7,9,
1112.0,4.677247996244953,671.2,284.14361434026904,341753.6118838473,0.3914027149321267,0.595112817180285,8,6,
1620.0,5.947340274357969,703.2,305.5244012662219,371575.00719353155,0.36877828054298645,0.569764010355009,9,9,
736.0,3.312673665974081,387.20000000000005,341.0017603605438,431100.9390145999,0.3438914027149321,0.4533947159079983,5,4,
1588.0,5.427590675045713,471.0000000000001,339.99507837020496,432901.99898996745,0.26244343891402716,0.4254560576036839,7,9,
1652.0,5.6229766978068065,492.6000000000001,340.7557004306086,430246.42352331744,0.3438914027149321,0.45808258586297,11,9,
768.0,3.283581160669197,327.8,355.54287301578506,455219.0604814707,0.34615384615384615,0.4017793904794411,7,4,
1620.0,5.42784721209547,433.8,345.3084677461977,442196.93712911324,0.31447963800904977,0.4009623737011356,9,9,
1620.0,5.671673216880404,522.2,364.6795618611384,466798.6085447112,0.33031674208144796,0.40290220138384975,9,9,
408.0,3.3217303539546466,693.4000000000001,366.80481644795384,445683.8921796116,0.39592760180995473,0.5720218408305954,5,2,
736.0,4.012280277443647,579.4,458.02788263009177,579145.3643926252,0.3076923076923077,0.45276203565591644,5,4,
540.0,3.392321549510751,500.2,459.20612488375195,588016.4158480905,0.31447963800904977,0.4012353811744677,3,3,
