FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
564.0,3.5585120651998063,874.3999999999999,187.84001379631175,192524.68029639657,0.7461706783369803,0.7896759622155749,25,1,
532.0,4.042901697874895,1244.8,70.80607592882711,34826.502675604665,0.7964989059080962,0.9534979893896048,23,1,
468.0,3.040059899797361,835.8,85.50737420739378,47263.99091116272,0.7986870897155361,0.9443109263439692,19,1,
532.0,3.384326946159181,936.6000000000001,78.0374143947456,44654.452176265186,0.787746170678337,0.9411131966622672,23,1,
500.0,3.711980007212261,1097.6000000000001,98.77486329600306,69159.28880445813,0.7964989059080962,0.9161288211072139,21,1,
500.0,3.369430879907838,933.4,106.42991211788211,87939.61972365405,0.7658643326039387,0.8819437421386492,21,1,
516.0,3.611782194980334,1008.1999999999999,126.3844631060126,112807.37503250234,0.75054704595186,0.8580844700967333,22,1,
336.0,3.0488189132179553,1009.8,47.51024334060574,0.0,1.0,1.0,21,0,
368.0,3.0688939452312045,988.9999999999998,45.48453297066079,0.0,1.0,1.0,23,0,
336.0,3.3877149377644336,1168.0,44.18572655834615,0.0,1.0,1.0,21,0,
368.0,3.2432015739795754,1069.6,44.54311930866601,0.0,1.0,1.0,23,0,
336.0,2.935239204356331,948.4000000000001,57.00431639084332,0.0,1.0,1.0,21,0,
500.0,3.0348548901935284,820.2,66.7286848184425,22535.70555718192,0.949671772428884,0.9723776469062287,21,1,
336.0,3.2695900333753047,1101.2,57.00264525251431,0.0,1.0,1.0,21,0,
532.0,3.5897554585376703,1049.1999999999998,59.31824455171543,22339.454747150838,0.9846827133479212,0.9681124054377837,23,1,
256.0,3.083504666315458,1073.6000000000001,79.56163250616413,0.0,1.0,1.0,16,0,
352.0,3.0116318106148725,947.4000000000002,76.91573745099655,0.0,1.0,1.0,22,0,
336.0,3.3905675512777766,1137.2,76.28937093394397,0.0,1.0,1.0,21,0,
596.0,3.578101525754904,963.2,75.99239726999103,24696.688503522088,0.9693654266958425,0.9737119654783657,27,1,
548.0,3.0913831785416606,791.5999999999999,73.16211259353882,34806.57537879876,0.9671772428884027,0.9557425861255556,24,1,
500.0,3.3136455077270126,939.3999999999999,74.93599703124484,45238.736813952084,0.87527352297593,0.9356427712244115,21,1,
548.0,3.0744947704720906,777.2,79.84411010574549,43856.884518626895,0.9059080962800875,0.9448661503272362,24,1,
516.0,3.886692430574392,1183.8,76.41844077249729,45814.45310790504,0.8818380743982495,0.9363912066230675,22,1,
532.0,3.040643530428033,766.3999999999999,91.17409340561105,57135.174139130264,0.9037199124726477,0.9313981069994116,23,1,
500.0,3.564807898027842,1048.8,80.31720939872382,51888.61337870695,0.9518599562363238,0.9276326023530056,21,1,
468.0,3.016346743547487,804.8,105.67046180120163,78784.1173983464,0.9321663019693655,0.9051742091335709,19,1,
468.0,3.8036145013529477,1165.2,105.05182711829714,84496.64491261361,0.811816192560175,0.8888065742339433,19,1,
516.0,3.1762297440949316,806.5999999999999,128.9369930513837,107131.43836582058,0.9146608315098468,0.880441078850033,22,1,
700.0,4.115968056590466,988.4,192.59740186184322,212758.63454596722,0.5470459518599562,0.7251980893440721,13,3,
748.0,4.650782680613673,1182.3999999999999,195.00768504044862,197230.9320992729,0.5382932166301969,0.7984458848232473,16,3,
664.0,3.955643206169152,968.6,175.12894521930272,182595.61752473278,0.6849015317286652,0.7773955472221422,21,2,
812.0,3.7553760225150135,760.6000000000001,143.60684228936105,145031.42411420905,0.6980306345733042,0.799374467065881,20,3,
780.0,3.7533035684426097,758.7999999999998,176.45973077827267,184847.98018062316,0.8161925601750547,0.7738167470741862,18,3,
796.0,4.501806398976179,1135.8,125.52552433211433,97195.48925742728,0.5929978118161926,0.8975090677103988,19,3,
828.0,4.193050587309746,969.8,118.4241184005541,105513.74482760075,0.5908096280087527,0.8587199287960297,21,3,
648.0,3.7020216279605545,952.5999999999998,91.22388397797359,67376.99605439688,0.7614879649890591,0.9069445939839091,20,2,
696.0,3.900625567667268,990.4,96.1858844239416,71600.05871714334,0.7724288840262582,0.90547395068521,23,2,
844.0,4.660530812781567,1186.0,99.86258144117635,73108.33187214864,0.7789934354485777,0.908564768845277,22,3,
648.0,3.867309656057293,1009.8000000000002,109.56051281818276,96399.76728816636,0.6477024070021882,0.8630609288011651,20,2,
812.0,4.039124500977168,924.3999999999999,109.47989694656626,93941.48362709438,0.7199124726477024,0.8711343352543902,20,3,
812.0,4.713241453856862,1239.3999999999999,102.55134441258616,79745.09861554901,0.7636761487964989,0.8965881395611442,20,3,
616.0,3.9129706183714346,1056.0,116.22757259574578,107990.520875908,0.7943107221006565,0.84247520506897,18,2,
748.0,3.8859621007870166,909.8,118.08468005966657,111742.62875543459,0.6258205689277899,0.8344100310476448,16,3,
812.0,4.724620382464036,1226.1999999999998,120.95151478606482,106123.73033375452,0.7177242888402626,0.8640046242150042,20,3,
680.0,4.2940358710011335,1218.0000000000002,64.37439304751769,23400.886137067544,0.986870897155361,0.9695816214317101,22,2,
712.0,4.057951077203284,1077.4,65.08364228190067,23400.886137067544,0.986870897155361,0.9700194433526758,24,2,
680.0,3.9770842932790864,1060.0,77.5275220285426,23400.886137067544,0.986870897155361,0.9760640610684957,22,2,
728.0,3.9011308280957016,977.9999999999997,76.81678843973586,24696.688503522088,0.9693654266958425,0.9740723540320121,25,2,
664.0,3.876096949783344,1038.2,69.17630605098826,24896.226551144184,0.9080962800875274,0.969981510342934,21,2,
