Problem,Win Length,Optimisation Criterion,Opt Routes,Avg Routes,Extra Routes,Times,Dist,Idle,Dels/route,Len Route,Time Route,% Idle
B-n50-k7,10,IDLE,7,46.8,5.685714286,5920.3,5794.366955,0,1.047008547,118.2523868,120.822449,0
B-n50-k8,10,ROUTES,8,8,0,4443.8,4958.788639,146.5,6.125,101.1997681,90.68979592,0.03296728
B-n50-k8,10,TIME,8,8.6,0.075,3890.8,4312.959778,139.6,5.697674419,88.0195873,79.40408163,0.035879511
B-n50-k8,10,DIST,8,8.7,0.0875,4018.5,4113.373954,301.4,5.632183908,83.94640723,82.01020408,0.075003111
B-n50-k8,10,IDLE,8,44.4,4.55,8224.1,8132.896914,0,1.103603604,165.9774881,167.8387755,0
B-n51-k7,10,ROUTES,7,8,0.142857143,5284.6,6170.176565,248.6,6.25,123.4035313,105.692,0.047042349
B-n51-k7,10,TIME,7,9.2,0.314285714,3778.2,4360.101297,219.3,5.434782609,87.20202594,75.564,0.058043513
B-n51-k7,10,DIST,7,8.9,0.271428571,3559.6,3621.407578,279.8,5.617977528,72.42815156,71.192,0.078604338
B-n51-k7,10,IDLE,7,39.4,4.628571429,7700.7,7850.145599,0,1.269035533,157.002912,154.014,0
B-n52-k7,10,ROUTES,7,7,0,4533.2,5215.500401,150.9,7.285714286,102.2647138,88.88627451,0.033287744
B-n52-k7,10,TIME,7,7,0,3351.3,3750.817752,107.7,7.285714286,73.54544612,65.71176471,0.032136783
B-n52-k7,10,DIST,7,8,0.142857143,3088.9,2987.910636,402.3,6.375,58.58648305,60.56666667,0.130240539
B-n52-k7,10,IDLE,7,48.5,5.928571429,6933.1,6824.412492,0,1.051546392,133.8120097,135.9431373,0
