Problem,Win Length,Optimisation Criterion,Opt Routes,Avg Routes,Extra Routes,Times,Dist,Idle,Dels/route,Len Route,Time Route,% Idle
P-n55-k15,12,IDLE,15,51.4,2.426666667,3825.4,3649.46407,0,1.050583658,67.58266796,70.84074074,0
P-n60-k10,12,ROUTES,10,10,0,3431.1,3889.065074,71,5.9,65.91635718,58.15423729,0.020693072
P-n60-k10,12,TIME,10,11.7,0.17,2699.3,2912.866398,61.6,5.042735043,49.37061692,45.75084746,0.022820731
P-n60-k10,12,DIST,10,12.4,0.24,2553.9,2513.681084,204.6,4.758064516,42.60476414,43.28644068,0.080112769
P-n60-k10,12,IDLE,10,54.2,4.42,4291.9,4130.815315,0,1.088560886,70.0138189,72.7440678,0
P-n60-k15,12,ROUTES,15,15.9,0.06,3635.2,3909.734947,164.8,3.710691824,66.26669402,61.61355932,0.045334507
P-n60-k15,12,TIME,15,18,0.2,2860.7,2934.801864,102.6,3.277777778,49.74240448,48.48644068,0.035865348
P-n60-k15,12,DIST,15,17.7,0.18,2882.3,2746.145284,263.8,3.333333333,46.54483532,48.85254237,0.09152413
P-n60-k15,12,IDLE,15,59,2.933333333,4393,4161.063309,0,1,70.52649676,74.45762712,0
P-n65-k10,12,ROUTES,10,10,0,3811.5,4341.729896,89.6,6.4,67.83952963,59.5546875,0.023507805
P-n65-k10,12,TIME,10,11.7,0.17,3018.9,3333.714611,42,5.47008547,52.0892908,47.1703125,0.013912352
P-n65-k10,12,DIST,10,13.4,0.34,2918.7,2882.671551,249.8,4.776119403,45.04174299,45.6046875,0.085586049
P-n65-k10,12,IDLE,10,60.4,5.04,4846.6,4656.452077,0,1.059602649,72.75706371,75.728125,0
P-n70-k10,12,ROUTES,10,10.6,0.06,4013.6,4575.520478,83.9,6.509433962,66.31189098,58.16811594,0.020903927
P-n70-k10,12,TIME,10,11.5,0.15,3314.4,3689.885583,49.9,6,53.47660265,48.03478261,0.015055515
P-n70-k10,12,DIST,10,13.2,0.32,3071.5,3144.113196,180.4,5.227272727,45.56685791,44.51449275,0.058733518
P-n70-k10,12,IDLE,10,69,5.9,5283,5010.424999,0,1,72.61485505,76.56521739,0
P-n76-k4,12,ROUTES,4,5,0.25,3978,4653.177028,62.7,15,62.04236037,53.04,0.015761689
P-n76-k4,12,TIME,4,5.5,0.375,3492.8,4123.037253,114.3,13.63636364,54.97383004,46.57066667,0.032724462
P-n76-k4,12,DIST,4,7.2,0.8,3109.8,3386.992467,108.5,10.41666667,45.15989956,41.464,0.034889704
P-n76-k4,12,IDLE,4,75,17.75,5739,5446.285183,0,1,72.61713577,76.52,0
P-n76-k5,12,ROUTES,5,6,0.2,4131.7,4831.855294,68.7,12.5,64.42473725,55.08933333,0.016627538
P-n76-k5,12,TIME,5,6.6,0.32,3473.6,4112.2078,87.5,11.36363636,54.82943734,46.31466667,0.025190005
P-n76-k5,12,DIST,5,9.2,0.84,3180.1,3445.693661,112.8,8.152173913,45.94258214,42.40133333,0.035470583
P-n76-k5,12,IDLE,5,57.6,10.52,5356.4,5353.444459,0,1.302083333,71.37925946,71.41866667,0
P-n101-k4,12,ROUTES,4,7,0.75,5279.8,6162.547017,70.2,14.28571429,61.62547017,52.798,0.013295958
P-n101-k4,12,TIME,4,9.8,1.45,4741.6,5838.539237,330,10.20408163,58.38539237,47.416,0.069596761
P-n101-k4,12,DIST,4,7.6,0.9,4463.5,4981.021805,129.8,13.15789474,49.81021805,44.635,0.029080318
P-n101-k4,12,IDLE,4,100,24,7874,7484.133932,0,1,74.84133932,78.74,0
A-n32-k5,13,ROUTES,5,5,0,3337.7,3926.096882,5.1,6.2,126.6482865,107.6677419,0.001527998
A-n32-k5,13,TIME,5,5.2,0.04,2203.9,3018.825433,190.1,5.961538462,97.38146557,71.09354839,0.086256182
A-n32-k5,13,DIST,5,5.9,0.18,2254.8,2463.659182,5.8,5.254237288,79.47287684,72.73548387,0.00257229
A-n32-k5,13,IDLE,5,13.9,1.78,4194.8,4582.898288,0,2.230215827,147.8354287,135.316129,0
A-n33-k5,13,ROUTES,5,5,0,2819.3,3360.99784,2.7,6.4,105.0311825,88.103125,9.58E-04
A-n33-k5,13,TIME,5,5.6,0.12,1813.7,2006.600803,11.6,5.714285714,62.70627509,56.678125,0.006395766
A-n33-k5,13,DIST,5,6.2,0.24,1704.8,1845.016065,7.6,5.161290323,57.65675202,53.275,0.004458001
A-n33-k5,13,IDLE,5,18.8,2.76,3486.3,3698.117874,0,1.70212766,115.5661836,108.946875,0
A-n33-k6,13,ROUTES,6,6,0,2712.2,3206.951161,2.8,5.333333333,100.2172238,84.75625,0.001032372
A-n33-k6,13,TIME,6,7,0.166666667,1839.4,2000.874961,16,4.571428571,62.52734253,57.48125,0.008698489
A-n33-k6,13,DIST,6,7.6,0.266666667,1798.3,1901.666908,27.5,4.210526316,59.42709087,56.196875,0.01529222
A-n33-k6,13,IDLE,6,16.6,1.766666667,3250.1,3506.19159,0,1.927710843,109.5684872,101.565625,0
A-n34-k5,13,ROUTES,5,5,0,3102.5,3696.624413,1.4,6.6,112.0189216,94.01515152,4.51E-04
A-n34-k5,13,TIME,5,5.2,0.04,2136.7,2407.673314,10,6.346153846,72.95979738,64.74848485,0.004680114
A-n34-k5,13,DIST,5,5.5,0.1,1961.7,2164.788912,7,6,65.599664,59.44545455,0.003568334
A-n34-k5,13,IDLE,5,16.3,2.26,3740.1,4042.910793,0,2.024539877,122.5124483,113.3363636,0
A-n36-k5,13,ROUTES,5,5,0,3424.7,4048.453226,0.8,7,115.6700922,97.84857143,2.34E-04
A-n36-k5,13,TIME,5,6.3,0.26,2432.1,3680.71659,402.1,5.555555556,105.1633311,69.48857143,0.165330373
A-n36-k5,13,DIST,5,5.8,0.16,2351.3,2632.160232,5.2,6.034482759,75.20457807,67.18,0.002211543
A-n36-k5,13,IDLE,5,18.8,2.76,4547.5,4808.289508,0,1.861702128,137.3797002,129.9285714,0
A-n37-k5,13,ROUTES,5,5,0,3094.7,3719.701459,1,7.2,103.3250405,85.96388889,3.23E-04
A-n37-k5,13,TIME,5,6.5,0.3,1934.1,2147.578694,5.9,5.538461538,59.65496371,53.725,0.003050514
A-n37-k5,13,DIST,5,5.4,0.08,1821.2,2031.871753,4.6,6.666666667,56.44088203,50.58888889,0.002525807
A-n37-k5,13,IDLE,5,19.3,2.86,3571.3,3815.21546,0,1.865284974,105.9782072,99.20277778,0
A-n37-k6,13,ROUTES,6,6,0,3456.9,4087.920452,6.6,6,113.5533459,96.025,0.001909225
A-n37-k6,13,TIME,6,7.2,0.2,2619.3,2958.294974,0,5,82.17486039,72.75833333,0
A-n37-k6,13,DIST,6,7.9,0.316666667,2534.1,2792.697934,2.3,4.556962025,77.5749426,70.39166667,9.08E-04
A-n37-k6,13,IDLE,6,17.8,1.966666667,4380.8,4687.563175,0,2.02247191,130.2100882,121.6888889,0
A-n38-k5,13,ROUTES,5,5,0,3108.3,3703.584905,6.3,7.4,100.0968893,84.00810811,0.002026831
A-n38-k5,13,TIME,5,6.6,0.32,2129.1,2523.686274,48.6,5.606060606,68.20773712,57.54324324,0.022826546
A-n38-k5,13,DIST,5,7.9,0.58,2108.4,2281.153844,17.9,4.683544304,61.6528066,56.98378378,0.00848985
A-n38-k5,13,IDLE,5,19.7,2.94,3969.7,4266.202716,0,1.878172589,115.3027761,107.2891892,0
A-n39-k5,13,ROUTES,5,5,0,3350.6,4032.024896,3.8,7.6,106.1059183,88.17368421,0.001134125
A-n39-k5,13,TIME,5,5.5,0.1,2425.5,3393.894777,242.1,6.909090909,89.31302045,63.82894737,0.099814471
A-n39-k5,13,DIST,5,5.7,0.14,2354,2628.003123,20.5,6.666666667,69.15797691,61.94736842,0.008708581
A-n39-k5,13,IDLE,5,23.1,3.62,4520.8,4729.019326,0,1.645021645,124.447877,118.9684211,0
A-n39-k6,13,ROUTES,6,6,0,3649.7,4374.925669,2.2,6.333333333,115.1296229,96.04473684,6.03E-04
A-n39-k6,13,TIME,6,8,0.333333333,2507.1,3069.443127,98.5,4.75,80.77481913,65.97631579,0.039288421
A-n39-k6,13,DIST,6,7.1,0.183333333,2364.9,2637.54604,0,5.352112676,69.4091063,62.23421053,0
A-n39-k6,13,IDLE,6,18.4,2.066666667,4330.9,4710.248612,0,2.065217391,123.9539108,113.9710526,0
A-n44-k7,13,ROUTES,7,6,-0.142857143,3886.3,4584.215454,8.3,7.166666667,106.6096617,90.37906977,0.002135707
A-n44-k7,13,TIME,7,6.8,-0.028571429,2978.3,3510.544015,66.4,6.323529412,81.64055849,69.2627907,0.022294598
A-n44-k7,13,DIST,7,7.4,0.057142857,2772.7,3065.040085,19.5,5.810810811,71.28000199,64.48139535,0.007032856
A-n44-k7,13,IDLE,7,22.7,2.242857143,5086,5395.808168,0,1.894273128,125.4839109,118.2790698,0
A-n45-k6,13,ROUTES,6,7,0.166666667,4346.1,5205.470149,1.3,6.285714286,118.3061397,98.775,2.99E-04
A-n45-k6,13,TIME,6,7.6,0.266666667,3190.4,3920.523752,99.8,5.789473684,89.10281254,72.50909091,0.031281344
A-n45-k6,13,DIST,6,8.9,0.483333333,3014.1,3324.258051,20.1,4.943820225,75.55131933,68.50227273,0.006668657
A-n45-k6,13,IDLE,6,20.6,2.433333333,5187.6,5686.594007,0,2.13592233,129.2407729,117.9,0
A-n45-k7,13,ROUTES,7,7,0,4150.7,4853.183786,6.3,6.285714286,110.2996315,94.33409091,0.001517816
A-n45-k7,13,TIME,7,7,0,3463.5,4020.793584,7.5,6.285714286,91.38167236,78.71590909,0.00216544
A-n45-k7,13,DIST,7,7.6,0.085714286,3305.1,3695.521541,3.3,5.789473684,83.98912592,75.11590909,9.98E-04
A-n45-k7,13,IDLE,7,23.9,2.414285714,5823.7,6097.795324,0,1.841004184,138.5862574,132.3568182,0
A-n46-k7,13,ROUTES,7,7,0,4203.5,5048.577807,0,6.428571429,112.1906179,93.41111111,0
A-n46-k7,13,TIME,7,7,0,2993,3425.20708,3.2,6.428571429,76.11571288,66.51111111,0.001069161
A-n46-k7,13,DIST,7,9.2,0.314285714,2834.1,3116.125361,18.9,4.891304348,69.24723024,62.98,0.006668784
A-n46-k7,13,IDLE,7,27.1,2.871428571,5198.9,5476.980459,0,1.660516605,121.7106769,115.5311111,0
A-n48-k7,13,ROUTES,7,7,0,4494.8,5327.631377,6.3,6.714285714,113.3538591,95.63404255,0.00140162
A-n48-k7,13,TIME,7,7.3,0.042857143,3723.7,4436.81193,48.6,6.438356164,94.40025382,79.22765957,0.013051535
A-n48-k7,13,DIST,7,8.1,0.157142857,3591.9,4055.209598,9.3,5.802469136,86.28105529,76.42340426,0.002589159
A-n48-k7,13,IDLE,7,26.7,2.814285714,6436.2,6800.746247,0,1.760299625,144.6967287,136.9404255,0
A-n53-k7,13,ROUTES,7,7,0,4667.3,5703.266832,51.5,7.428571429,109.6782083,89.75576923,0.011034217
A-n53-k7,13,TIME,7,9,0.285714286,3818.7,4872.507264,197.5,5.777777778,93.70206278,73.43653846,0.051719171
A-n53-k7,13,DIST,7,10.1,0.442857143,3547.2,3973.606694,1.2,5.148514851,76.41551334,68.21538462,3.38E-04
A-n53-k7,13,IDLE,7,28.2,3.028571429,6156.7,6563.475481,0,1.843971631,126.2206823,118.3980769,0
A-n54-k7,13,ROUTES,7,7,0,5038.7,6125.598221,52.2,7.571428571,115.5773249,95.06981132,0.010359815
A-n54-k7,13,TIME,7,9.8,0.4,4153.6,5733.083134,395,5.408163265,108.1713799,78.36981132,0.095098228
A-n54-k7,13,DIST,7,8.6,0.228571429,4010.8,4564.493327,5.3,6.162790698,86.12251561,75.6754717,0.001321432
A-n54-k7,13,IDLE,7,30.8,3.4,7057.5,7429.979612,0,1.720779221,140.1882946,133.1603774,0
A-n55-k9,13,ROUTES,9,9,0,4824.6,5740.14328,6.1,6,106.2989496,89.34444444,0.001264354
A-n55-k9,13,TIME,9,10.8,0.2,3505.7,3923.582025,7.9,5,72.6589264,64.92037037,0.002253473
A-n55-k9,13,DIST,9,11.6,0.288888889,3390.3,3701.016993,24.4,4.655172414,68.53735173,62.78333333,0.007197003
A-n55-k9,13,IDLE,9,32.4,2.6,5867.2,6210.29219,0,1.666666667,115.0054109,108.6518519,0
A-n60-k9,13,ROUTES,9,9,0,5634.8,6708.012504,0.6,6.555555556,113.6951272,95.50508475,1.06E-04
A-n60-k9,13,TIME,9,9.7,0.077777778,4775.1,5812.489824,109.7,6.082474227,98.51677667,80.93389831,0.022973341
A-n60-k9,13,DIST,9,12.5,0.388888889,4565.2,5094.791803,7.5,4.72,86.35240344,77.37627119,0.001642863
A-n60-k9,13,IDLE,9,31.5,2.5,7546.4,8054.887657,0,1.873015873,136.5235196,127.9050847,0
A-n61-k9,13,ROUTES,9,10,0.111111111,5067.4,5990.997016,8.8,6,99.84995027,84.45666667,0.001736591
A-n61-k9,13,TIME,9,10.5,0.166666667,3741.2,4244.518219,12.1,5.714285714,70.74197032,62.35333333,0.003234256
A-n61-k9,13,DIST,9,11.9,0.322222222,3579.6,3925.302397,31.7,5.042016807,65.42170661,59.66,0.008855738
A-n61-k9,13,IDLE,9,38.4,3.266666667,6117.4,6388.829054,0,1.5625,106.4804842,101.9566667,0
A-n62-k8,13,ROUTES,8,8,0,5829.7,7034.791026,52.8,7.625,115.324443,95.56885246,0.00905707
A-n62-k8,13,TIME,8,9.6,0.2,4835.3,6591.233779,391.9,6.354166667,108.0530128,79.26721311,0.08104978
A-n62-k8,13,DIST,8,8.6,0.075,4984.4,5808.969066,3.2,7.093023256,95.22900108,81.71147541,6.42E-04
A-n62-k8,13,IDLE,8,29.1,2.6375,8047.7,8654.716895,0,2.096219931,141.8806048,131.9295082,0
A-n63-k9,13,ROUTES,9,9.6,0.066666667,6340,7455.309928,0,6.458333333,120.2469343,102.2580645,0
A-n63-k9,13,TIME,9,10.2,0.133333333,5634,7006.367518,192.3,6.078431373,113.0059277,90.87096774,0.034132055
A-n63-k9,13,DIST,9,10.3,0.144444444,5596.2,6417.538112,4.8,6.019417476,103.5086792,90.26129032,8.58E-04
A-n63-k9,13,IDLE,9,31,2.444444444,9352,9956.161696,0,2,160.5832532,150.8387097,0
A-n63-k10,13,ROUTES,10,10,0,5663.2,6710.670674,2.4,6.2,108.2366238,91.34193548,4.24E-04
A-n63-k10,13,TIME,10,11.2,0.12,4643.8,5496.05232,55,5.535714286,88.64600517,74.9,0.011843749
A-n63-k10,13,DIST,10,11.1,0.11,4285.8,4894.30318,7,5.585585586,78.94037387,69.12580645,0.001633301
A-n63-k10,13,IDLE,10,28.6,1.86,6789.4,7407.26861,0,2.167832168,119.4720744,109.5064516,0
A-n64-k9,13,ROUTES,9,9,0,5736.3,6730.2477,2,7,106.8293286,91.05238095,3.49E-04
A-n64-k9,13,TIME,9,10.5,0.166666667,4817.5,6476.486548,396.2,6,102.8013738,76.46825397,0.082241827
A-n64-k9,13,DIST,9,10.5,0.166666667,5107.8,5821.954552,8.3,6,92.41197701,81.07619048,0.001624966
A-n64-k9,13,IDLE,9,28.9,2.211111111,8090.8,8694.520379,0,2.179930796,138.00826,128.4253968,0
A-n65-k9,13,ROUTES,9,9.6,0.066666667,5894.8,7060.394692,1.8,6.666666667,110.3186671,92.10625,3.05E-04
A-n65-k9,13,TIME,9,10.9,0.211111111,4772.8,5651.035515,53.1,5.871559633,88.29742992,74.575,0.011125545
A-n65-k9,13,DIST,9,12.8,0.422222222,4391.6,4919.575236,7.8,5,76.86836306,68.61875,0.001776118
A-n65-k9,13,IDLE,9,26.9,1.988888889,6922.5,7674.40439,0,2.379182156,119.9125686,108.1640625,0
A-n69-k9,13,ROUTES,9,9,0,5961.5,7176.370577,1.3,7.555555556,105.5348614,87.66911765,2.18E-04
A-n69-k9,13,TIME,9,10.2,0.133333333,4530,5634.073664,147.7,6.666666667,82.85402447,66.61764706,0.032604857
A-n69-k9,13,DIST,9,10.9,0.211111111,4330.5,4942.085945,10.2,6.23853211,72.67773449,63.68382353,0.002355386
A-n69-k9,13,IDLE,9,40.6,3.511111111,7402.2,7855.52255,0,1.674876847,115.5223904,108.8558824,0
A-n80-k10,13,ROUTES,10,10,0,7398.4,8832.33565,51.4,7.9,111.8017171,93.65063291,0.006947448
A-n80-k10,13,TIME,10,11.3,0.13,6639.5,8772.356201,443.3,6.991150442,111.0424836,84.0443038,0.066767076
A-n80-k10,13,DIST,10,11.1,0.11,6929.6,8001.574078,0,7.117117117,101.2857478,87.7164557,0
A-n80-k10,13,IDLE,10,52.6,4.26,13520,13876.37938,0,1.501901141,175.6503719,171.1392405,0
B-n31-k5,13,ROUTES,5,5,0,2244.4,2521.503531,2.5,6,84.05011769,74.81333333,0.001113883
B-n31-k5,13,TIME,5,5,0,1650.6,1749.632385,3.1,6,58.3210795,55.02,0.001878105
B-n31-k5,13,DIST,5,5.1,0.02,1598.6,1676.393453,3.3,5.882352941,55.87978177,53.28666667,0.002064306
B-n31-k5,13,IDLE,5,18,2.6,3923.3,4017.906853,0,1.666666667,133.9302284,130.7766667,0
B-n34-k5,13,ROUTES,5,5,0,2849,3306.400687,0,6.6,100.1939602,86.33333333,0
B-n34-k5,13,TIME,5,5.5,0.1,2142.2,2824.726074,206.2,6,85.59775983,64.91515152,0.096256185
B-n34-k5,13,DIST,5,6.1,0.22,2196,2356.879097,2.4,5.409836066,71.42057868,66.54545455,0.001092896
B-n34-k5,13,IDLE,5,18.4,2.68,4451.5,4631.793243,0,1.793478261,140.357371,134.8939394,0
B-n35-k5,13,ROUTES,5,5,0,3698.4,4355.060248,0,6.8,128.0900073,108.7764706,0
B-n35-k5,13,TIME,5,5.8,0.16,2698.7,4127.301217,431.8,5.862068966,121.3912123,79.37352941,0.160002964
B-n35-k5,13,DIST,5,5,0,2553.5,2839.821688,0.6,6.8,83.5241673,75.10294118,2.35E-04
B-n35-k5,13,IDLE,5,18.8,2.76,5848.9,6149.733159,0,1.808510638,180.8745047,172.0264706,0
B-n38-k6,13,ROUTES,6,6,0,3352.6,3938.298306,0.8,6.166666667,106.4404948,90.61081081,2.39E-04
B-n38-k6,13,TIME,6,6.2,0.033333333,2309,2539.546135,11.9,5.967741935,68.63638202,62.40540541,0.005153746
B-n38-k6,13,DIST,6,6.2,0.033333333,2161.9,2345.737751,11.2,5.967741935,63.3983176,58.42972973,0.005180628
B-n38-k6,13,IDLE,6,25.7,3.283333333,5125.5,5220.00522,0,1.439688716,141.0812222,138.527027,0
B-n39-k5,13,ROUTES,5,5,0,3166.8,4005.651609,104.7,7.6,105.4118844,83.33684211,0.033061766
B-n39-k5,13,TIME,5,5.1,0.02,1955.9,2138.468848,18.3,7.450980392,56.27549601,51.47105263,0.009356307
B-n39-k5,13,DIST,5,5.6,0.12,1847.2,1988.357029,29.1,6.785714286,52.32518499,48.61052632,0.015753573
B-n39-k5,13,IDLE,5,19.2,2.84,4551.4,4952.047762,0,1.979166667,130.3170464,119.7736842,0
B-n41-k6,13,ROUTES,6,6,0,3781.8,4512.028209,0.3,6.666666667,112.8007052,94.545,7.93E-05
B-n41-k6,13,TIME,6,7.2,0.2,2536.2,2826.718797,6.1,5.555555556,70.66796992,63.405,0.002405173
B-n41-k6,13,DIST,6,6.6,0.1,2271.4,2481.510418,10.2,6.060606061,62.03776046,56.785,0.004490623
B-n41-k6,13,IDLE,6,21,2.5,4900,5256.116803,0,1.904761905,131.4029201,122.5,0
B-n43-k6,13,ROUTES,6,6,0,3249.1,3808.286075,4.7,7,90.67347799,77.35952381,0.001446554
B-n43-k6,13,TIME,6,6.5,0.083333333,2501.8,2836.650651,5,6.461538462,67.53930123,59.56666667,0.001998561
B-n43-k6,13,DIST,6,7.2,0.2,2360.6,2594.928437,36.7,5.833333333,61.78401039,56.2047619,0.015546895
B-n43-k6,13,IDLE,6,24.1,3.016666667,4468.1,4666.20111,0,1.742738589,111.1000264,106.3833333,0
B-n44-k7,13,ROUTES,7,7,0,3903.7,4577.115597,0.3,6.142857143,106.4445488,90.78372093,7.69E-05
B-n44-k7,13,TIME,7,7.5,0.071428571,2978.8,3339.865163,10.1,5.733333333,77.67128286,69.2744186,0.003390627
B-n44-k7,13,DIST,7,9.6,0.371428571,2849.8,3041.813757,15.3,4.479166667,70.73985481,66.2744186,0.005368798
B-n44-k7,13,IDLE,7,16.6,1.371428571,4733,5169.440767,0,2.590361446,120.2195527,110.0697674,0
B-n45-k5,13,ROUTES,5,5.1,0.02,3797.1,4697.531158,55.1,8.62745098,106.7620718,86.29772727,0.014511074
B-n45-k5,13,TIME,5,6.1,0.22,2488.2,2835.868168,4.6,7.213114754,64.45154928,56.55,0.001848726
B-n45-k5,13,DIST,5,7.4,0.48,2336.4,2544.555983,19.4,5.945945946,57.8308178,53.1,0.008303373
B-n45-k5,13,IDLE,5,20.2,3.04,4736.5,5214.050809,0,2.178217822,118.5011547,107.6477273,0
B-n45-k6,13,ROUTES,6,6.8,0.133333333,3034.4,3517.453899,6.5,6.470588235,79.94213407,68.96363636,0.002142104
B-n45-k6,13,TIME,6,7.2,0.2,2395.2,2640.196111,14,6.111111111,60.00445706,54.43636364,0.005845023
B-n45-k6,13,DIST,6,7.5,0.25,2154.3,2296.811405,18.6,5.866666667,52.20025921,48.96136364,0.008633895
B-n45-k6,13,IDLE,6,21.3,2.55,3996.3,4252.918013,0,2.0657277,96.65722758,90.825,0
B-n50-k7,13,ROUTES,7,7,0,4127.5,4949.319605,3.4,7,101.0065225,84.23469388,8.24E-04
B-n50-k7,13,TIME,7,7.3,0.042857143,2685.8,3010.409531,8.8,6.712328767,61.4369292,54.8122449,0.003276491
B-n50-k7,13,DIST,7,8.6,0.228571429,2587.4,2787.596208,29.6,5.697674419,56.88971852,52.80408163,0.011440056
B-n50-k7,13,IDLE,7,28.6,3.085714286,5166.8,5505.737681,0,1.713286713,112.3619935,105.444898,0
B-n50-k8,13,ROUTES,8,8,0,4203.3,4861.698059,4.2,6.125,99.21832773,85.78163265,9.99E-04
B-n50-k8,13,TIME,8,8.5,0.0625,3766.5,4292.45455,5.9,5.764705882,87.60111326,76.86734694,0.001566441
B-n50-k8,13,DIST,8,8.9,0.1125,3646.7,4069.609857,4.3,5.505617978,83.05326239,74.42244898,0.001179148
B-n50-k8,13,IDLE,8,28.1,2.5125,6512.4,6806.031327,0,1.743772242,138.8985985,132.9061224,0
B-n51-k7,13,ROUTES,7,7.8,0.114285714,5487.4,6598.307778,1.1,6.41025641,131.9661556,109.748,2.00E-04
B-n51-k7,13,TIME,7,8.5,0.214285714,3474.7,4387.432682,208.2,5.882352941,87.74865364,69.494,0.059918842
B-n51-k7,13,DIST,7,8.4,0.2,3347.7,3698.536448,9.3,5.952380952,73.97072896,66.954,0.002778027
B-n51-k7,13,IDLE,7,24,2.428571429,6769.5,7423.143442,0,2.083333333,148.4628688,135.39,0
B-n52-k7,13,ROUTES,7,7,0,4840.9,5834.312851,4.6,7.285714286,114.3982912,94.91960784,9.50E-04
B-n52-k7,13,TIME,7,7.9,0.128571429,2813.3,3130.617698,21.1,6.455696203,61.38466075,55.1627451,0.007500089
B-n52-k7,13,DIST,7,8.6,0.228571429,2714.8,2946.816928,23.3,5.930232558,57.78072409,53.23137255,0.008582584
B-n52-k7,13,IDLE,7,28.4,3.057142857,5838.9,6279.452589,0,1.795774648,123.1265214,114.4882353,0
B-n56-k7,13,ROUTES,7,7,0,4772.2,5743.899053,7.6,7.857142857,104.4345282,86.76727273,0.001592557
B-n56-k7,13,TIME,7,8.6,0.228571429,2879.4,3227.59922,23.4,6.395348837,58.68362218,52.35272727,0.008126693
B-n56-k7,13,DIST,7,11.5,0.642857143,2775.4,2920.646236,52.4,4.782608696,53.10265883,50.46181818,0.018880161
B-n56-k7,13,IDLE,7,31.2,3.457142857,5886.2,6306.89789,0,1.762820513,114.6708707,107.0218182,0
B-n57-k7,13,ROUTES,7,8,0.142857143,5804.9,7065.920881,51.2,7,126.1771586,103.6589286,0.008820135
B-n57-k7,13,TIME,7,8.9,0.271428571,4381.6,6351.163752,536.5,6.292134831,113.4136384,78.24285714,0.122443856
B-n57-k7,13,DIST,7,9.5,0.357142857,4296.2,4868.298088,1.1,5.894736842,86.93389442,76.71785714,2.56E-04
B-n57-k7,13,IDLE,7,27.6,2.942857143,7872.6,8466.799817,0,2.028985507,151.1928539,140.5821429,0
B-n57-k9,13,ROUTES,9,9,0,5609.2,6435.229353,0,6.222222222,114.9148099,100.1642857,0
B-n57-k9,13,TIME,9,9.3,0.033333333,4886.5,5768.552948,96.6,6.021505376,103.0098741,87.25892857,0.019768751
B-n57-k9,13,DIST,9,9.1,0.011111111,4820.2,5427.691607,0,6.153846154,96.92306442,86.075,0
B-n57-k9,13,IDLE,9,37.9,3.211111111,10382.4,10556.44563,0,1.477572559,188.5079576,185.4,0
B-n63-k10,13,ROUTES,10,10,0,6397.4,7508.324859,5,6.2,121.1020138,103.183871,7.82E-04
B-n63-k10,13,TIME,10,11,0.1,5425.7,6822.939382,239.3,5.636363636,110.0474094,87.51129032,0.044104908
B-n63-k10,13,DIST,10,12.6,0.26,5561.8,6251.91103,6,4.920634921,100.8372747,89.70645161,0.001078787
B-n63-k10,13,IDLE,10,38.4,2.84,10027.2,10447.51039,0,1.614583333,168.5082321,161.7290323,0
B-n64-k9,13,ROUTES,9,9.9,0.1,4987.8,5893.27181,27.1,6.363636364,93.54399698,79.17142857,0.005433257
B-n64-k9,13,TIME,9,10.8,0.2,3375.6,3747.541085,24.4,5.833333333,59.48477912,53.58095238,0.007228345
B-n64-k9,13,DIST,9,11.5,0.277777778,3189.3,3437.026458,33.2,5.47826087,54.55597552,50.62380952,0.010409808
B-n64-k9,13,IDLE,9,38.8,3.311111111,6222.5,6541.097982,0,1.62371134,103.8269521,98.76984127,0
B-n66-k9,13,ROUTES,9,9,0,5750.4,6760.484748,0.8,7.222222222,104.0074577,88.46769231,1.39E-04
B-n66-k9,13,TIME,9,11.3,0.255555556,4952.6,6109.366305,196.1,5.752212389,93.99025085,76.19384615,0.039595364
B-n66-k9,13,DIST,9,10.6,0.177777778,5051.4,5757.887246,9.3,6.132075472,88.58288071,77.71384615,0.001841074
B-n66-k9,13,IDLE,9,35.6,2.955555556,8610.4,9087.398044,0,1.825842697,139.8061238,132.4676923,0
B-n67-k10,13,ROUTES,10,10,0,5449.8,6591.789501,63.6,6.6,99.87559849,82.57272727,0.011670153
B-n67-k10,13,TIME,10,10.7,0.07,4047.5,4724.988815,65.8,6.168224299,71.59073962,61.32575758,0.016256949
B-n67-k10,13,DIST,10,10.8,0.08,3708.1,4090.451849,38.3,6.111111111,61.97654317,56.18333333,0.01032874
B-n67-k10,13,IDLE,10,31.7,2.17,6637.8,7250.546862,0,2.082018927,109.8567706,100.5727273,0
B-n68-k9,13,ROUTES,9,9,0,6039.5,7135.97135,4.4,7.444444444,106.5070351,90.14179104,7.29E-04
B-n68-k9,13,TIME,9,10.7,0.188888889,5218.3,6470.110478,212.3,6.261682243,96.56881311,77.88507463,0.040683748
B-n68-k9,13,DIST,9,9.8,0.088888889,5178.5,5916.262255,7.9,6.836734694,88.30242171,77.29104478,0.001525538
B-n68-k9,13,IDLE,9,41.7,3.633333333,9640.2,10086.44467,0,1.606714628,150.5439503,143.8835821,0
B-n78-k10,13,ROUTES,10,10,0,6805.2,8122.186696,2.7,7.7,105.4829441,88.37922078,3.97E-04
B-n78-k10,13,TIME,10,12.4,0.24,5499.5,6947.019601,273.7,6.209677419,90.22103377,71.42207792,0.049768161
B-n78-k10,13,DIST,10,12.3,0.23,5137.9,5891.898552,14,6.260162602,76.51816301,66.72597403,0.002724849
B-n78-k10,13,IDLE,10,35.7,2.57,8623,9369.226745,0,2.156862745,121.6782694,111.987013,0
