prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n34-k5.vrp,34,460,13,1,2446.014781,5674,7.010834194,11,3224.983729,3,41.81818182
A-n34-k5.vrp,34,460,13,1,2750.200236,3859,5.94255093,10,2733.573428,3,46
A-n34-k5.vrp,34,460,13,1,2804.44637,3542,6.175043968,11,2840.520225,3,41.81818182
A-n34-k5.vrp,34,460,13,1,3086.259246,3533,6.242809417,11,2871.692332,3,41.81818182
A-n34-k5.vrp,34,460,13,1,2673.315716,4177,6.061256389,10,2788.177939,3,46
A-n34-k5.vrp,34,460,13,1,2769.071919,3433,6.831698727,13,3142.581415,2,35.38461538
A-n34-k5.vrp,34,460,13,1,2676.787442,3805,6.256922023,11,2878.184131,3,41.81818182
A-n34-k5.vrp,34,460,13,1,2707.494472,3545,6.50821055,12,2993.776853,2,38.33333333
A-n34-k5.vrp,34,460,13,1,2812.510962,3479,6.506225614,12,2992.863783,2,38.33333333
A-n34-k5.vrp,34,460,13,1,2938.331564,3405,7.219097376,14,3320.784793,2,32.85714286
A-n34-k5.vrp,34,460,13,1,3035.519367,3390,7.950338622,16,3657.155766,2,28.75
A-n34-k5.vrp,34,460,13,1,2683.205142,3789,6.964641308,13,3203.735002,2,35.38461538
A-n34-k5.vrp,34,460,13,1,2706.295901,3745,6.594862218,12,3033.63662,2,38.33333333
A-n34-k5.vrp,34,460,13,1,2728.926566,3732,6.238444366,11,2869.684408,3,41.81818182
A-n34-k5.vrp,34,460,13,1,2833.219325,3562,5.83453622,10,2683.886661,3,46
A-n34-k5.vrp,34,460,13,1,2764.849651,3656,5.501494368,9,2530.687409,3,51.11111111
A-n34-k5.vrp,34,460,13,1,2755.772438,3695,6.229185598,11,2865.425375,3,41.81818182
A-n34-k5.vrp,34,460,13,1,3205.980713,3465,6.243695094,11,2872.099743,3,41.81818182
A-n34-k5.vrp,34,460,13,1,3209.105406,3582,5.58231594,9,2567.865333,3,51.11111111
A-n34-k5.vrp,34,460,13,1,3111.4202,3960,5.365296007,8,2468.036163,4,57.5
A-n34-k5.vrp,34,460,13,1,3148.154028,3516,5.894639177,10,2711.534021,3,46
A-n34-k5.vrp,34,460,13,1,2742.707308,4392,5.815862511,9,2675.296755,3,51.11111111
A-n34-k5.vrp,34,460,13,1,2759.266379,3845,5.582248188,9,2567.834166,3,51.11111111
A-n34-k5.vrp,34,460,13,1,2909.734345,4005,5.333562866,8,2453.438918,4,57.5
A-n34-k5.vrp,34,460,13,1,2725.945622,4632,5.915947039,9,2721.335638,3,51.11111111
A-n34-k5.vrp,34,460,13,14,1957.995115,1827,3.074968323,5,1414.485428,6,92
A-n34-k5.vrp,34,460,13,14,2002.700198,1805,3.076773746,5,1415.315923,6,92
A-n36-k5.vrp,36,442,12,1,2834.400372,5681,7.773359375,12,3435.824844,3,36.83333333
A-n36-k5.vrp,36,442,12,1,3043.786329,4619,7.348242083,12,3247.923001,3,36.83333333
A-n36-k5.vrp,36,442,12,1,3195.19829,3640,6.57429457,11,2905.8382,3,40.18181818
A-n36-k5.vrp,36,442,12,1,3199.885539,3685,6.224856579,10,2751.386608,3,44.2
A-n36-k5.vrp,36,442,12,1,3306.912135,3398,6.49436362,11,2870.50872,3,40.18181818
A-n36-k5.vrp,36,442,12,1,3223.655446,3325,6.810334134,12,3010.167687,3,36.83333333
A-n36-k5.vrp,36,442,12,1,3129.466487,3815,6.265039771,10,2769.147579,3,44.2
A-n36-k5.vrp,36,442,12,1,3213.116746,3685,5.857318234,9,2588.934659,4,49.11111111
A-n36-k5.vrp,36,442,12,14,3443.855509,1969,3.657762657,5,1616.731095,7,88.4
A-n36-k5.vrp,36,442,12,14,3439.994296,1987,3.664885368,5,1619.879333,7,88.4
A-n36-k5.vrp,36,442,12,14,2264.864956,2006,3.362419004,5,1486.1892,7,88.4
A-n36-k5.vrp,36,442,12,14,3447.539847,1914,3.633851045,5,1606.162162,7,88.4
A-n37-k5.vrp,37,407,11,1,2183.066903,5528,8.985304245,14,3657.018828,2,29.07142857
A-n37-k5.vrp,37,407,11,1,2994.402083,3037,7.188562761,12,2925.745044,3,33.91666667
A-n37-k5.vrp,37,407,11,1,2930.095042,2944,8.333221425,15,3391.62112,2,27.13333333
A-n37-k5.vrp,37,407,11,1,2905.618869,2955,7.928642279,14,3226.957408,2,29.07142857
A-n37-k5.vrp,37,407,11,1,3013.858124,2981,7.569585751,13,3080.8214,2,31.30769231
A-n37-k5.vrp,37,407,11,1,2917.782912,3018,7.560148896,13,3076.980601,2,31.30769231
A-n37-k5.vrp,37,407,11,1,2351.387325,3081,6.622388985,11,2695.312317,3,37
A-n37-k5.vrp,37,407,11,1,2351.141024,3332,5.939762899,9,2417.4835,4,45.22222222
A-n37-k5.vrp,37,407,11,1,2317.95717,3343,5.935628965,9,2415.800989,4,45.22222222
A-n37-k5.vrp,37,407,11,1,2576.743047,3124,6.305353652,10,2566.278937,3,40.7
A-n37-k5.vrp,37,407,11,1,2571.790007,3047,7.474937177,13,3042.299431,2,31.30769231
A-n37-k5.vrp,37,407,11,1,2541.16805,2978,7.835176073,14,3188.916662,2,29.07142857
A-n37-k5.vrp,37,407,11,1,2365.267565,3213,6.28829559,10,2559.336305,3,40.7
A-n37-k5.vrp,37,407,11,1,2507.179795,3229,5.934005003,9,2415.140036,4,45.22222222
A-n37-k5.vrp,37,407,11,1,2218.75641,3420,5.542001228,8,2255.5945,4,50.875
A-n37-k5.vrp,37,407,11,1,3578.324965,2925,10.12202462,19,4119.664021,1,21.42105263
A-n37-k5.vrp,37,407,11,14,1936.900781,1711,3.412327743,5,1388.817391,7,81.4
A-n37-k5.vrp,37,407,11,14,3131.871762,1641,3.721447165,5,1514.628996,7,81.4
A-n37-k6.vrp,37,570,15,1,3213.563819,3581,6.231906959,15,3552.186967,2,38
A-n37-k6.vrp,37,570,15,1,3183.820482,3550,6.790363152,17,3870.506996,2,33.52941176
A-n37-k6.vrp,37,570,15,1,2975.995442,3750,5.091563977,11,2902.191467,3,51.81818182
A-n37-k6.vrp,37,570,15,1,3131.276399,3667,5.382033928,12,3067.759339,3,47.5
A-n37-k6.vrp,37,570,15,1,3348.647289,3660,5.999634619,14,3419.791733,2,40.71428571
A-n37-k6.vrp,37,570,15,1,2990.635402,3770,4.813867267,10,2743.904342,3,57
A-n37-k6.vrp,37,570,15,1,2844.926758,4149,4.629221808,9,2638.656431,4,63.33333333
A-n37-k6.vrp,37,570,15,1,2828.045136,4276,4.670318037,9,2662.081281,4,63.33333333
A-n37-k6.vrp,37,570,15,1,2972.23413,3755,5.380265602,12,3066.751393,3,47.5
A-n37-k6.vrp,37,570,15,1,2962.959014,3797,5.680817903,13,3238.066205,2,43.84615385
A-n37-k6.vrp,37,570,15,1,2950.344309,4077,4.913316288,10,2800.590284,3,57
A-n37-k6.vrp,37,570,15,1,2843.508457,4149,4.916649981,10,2802.490489,3,57
A-n37-k6.vrp,37,570,15,1,2919.287119,4139,4.928695777,10,2809.356593,3,57
A-n37-k6.vrp,37,570,15,14,2408.2897,2166,3.268368237,7,1862.969895,5,81.42857143
A-n37-k6.vrp,37,570,15,14,2768.947363,2398,3.136082178,6,1787.566841,6,95
A-n37-k6.vrp,37,570,15,14,2669.7163,2426,3.125538258,6,1781.556807,6,95
A-n37-k6.vrp,37,570,15,14,2734.462329,2411,3.133565074,6,1786.132092,6,95
A-n38-k5.vrp,38,481,12,1,3345.279949,3206,7.943030674,17,3820.597754,2,28.29411765
A-n38-k5.vrp,38,481,12,1,2562.579516,6668,8.85118878,16,4257.421803,2,30.0625
A-n38-k5.vrp,38,481,12,1,2665.758872,4197,6.48501827,12,3119.293788,3,40.08333333
A-n38-k5.vrp,38,481,12,1,2599.758526,4198,6.469379932,12,3111.771748,3,40.08333333
A-n38-k5.vrp,38,481,12,1,3079.502843,3505,5.956968467,11,2865.301833,3,43.72727273
A-n38-k5.vrp,38,481,12,1,3036.20569,3508,5.606727787,10,2696.836066,3,48.1
A-n38-k5.vrp,38,481,12,1,3063.93409,3473,6.280832201,12,3021.080288,3,40.08333333
A-n38-k5.vrp,38,481,12,1,2929.983021,3726,6.012490672,11,2892.008013,3,43.72727273
A-n38-k5.vrp,38,481,12,1,2824.089728,3550,6.254508312,12,3008.418498,3,40.08333333
A-n38-k5.vrp,38,481,12,1,2869.868979,3448,6.564188504,13,3157.374671,2,37
A-n38-k5.vrp,38,481,12,1,2947.656282,3972,5.778120135,10,2779.275785,3,48.1
A-n38-k5.vrp,38,481,12,1,3006.858431,3900,5.762583028,10,2771.802436,3,48.1
A-n38-k5.vrp,38,481,12,1,2797.111236,4143,5.812602941,10,2795.862015,3,48.1
A-n38-k5.vrp,38,481,12,1,3031.590829,3440,6.600199848,13,3174.696127,2,37
A-n38-k5.vrp,38,481,12,1,2774.306085,3794,6.68481042,13,3215.393812,2,37
A-n38-k5.vrp,38,481,12,1,2971.838698,3653,5.992318353,11,2882.305128,3,43.72727273
A-n38-k5.vrp,38,481,12,1,2787.014961,3765,7.016799897,14,3375.08075,2,34.35714286
A-n38-k5.vrp,38,481,12,1,2735.263844,3891,6.033733617,11,2902.22587,3,43.72727273
A-n38-k5.vrp,38,481,12,1,2821.172209,3847,6.377291369,12,3067.477148,3,40.08333333
A-n38-k5.vrp,38,481,12,1,2969.976181,3922,5.762759279,10,2771.887213,3,48.1
A-n38-k5.vrp,38,481,12,14,2015.026522,1776,2.93338483,5,1410.958103,7,96.2
A-n39-k5.vrp,39,475,12,1,2843.051316,5967,8.046393693,14,3822.037004,2,33.92857143
A-n39-k5.vrp,39,475,12,1,3200.0446,4028,5.936853091,10,2820.005218,3,47.5
A-n39-k5.vrp,39,475,12,1,2972.865803,3681,6.080053261,11,2888.025299,3,43.18181818
A-n39-k5.vrp,39,475,12,1,3051.276938,3387,6.320840846,12,3002.399402,3,39.58333333
A-n39-k5.vrp,39,475,12,1,3012.258766,3472,6.692282686,13,3178.834276,3,36.53846154
A-n39-k5.vrp,39,475,12,1,3026.515605,3436,6.680636475,13,3173.302326,3,36.53846154
A-n39-k5.vrp,39,475,12,1,3011.769887,3517,6.365846478,12,3023.777077,3,39.58333333
A-n39-k5.vrp,39,475,12,1,3035.729504,3373,6.656379688,13,3161.780352,3,36.53846154
A-n39-k5.vrp,39,475,12,1,3044.262714,3389,6.319955237,12,3001.978738,3,39.58333333
A-n39-k5.vrp,39,475,12,1,3063.110491,3367,6.315334584,12,2999.783927,3,39.58333333
