Problem,Deliveries,Demand,Avg.Bags.Del,Time Window,Sol. Distance, Sol. Time,Sol. CostDel,Routes,Sol. Cost,Sol. Avg. Dels Route,Sol. Loading Factor
A-n32-k5,32,410,12.0,6,2621.6935041311526,2581.0,4.407166195081329,6,1806.9381399833449,5,68.33333333333333
A-n32-k5,32,410,12.0,6,2634.232666868716,2743.0,4.089768834204,5,1676.80522202364,6,82.0
A-n32-k5,32,410,12.0,6,2716.212198446562,2593.0,4.039992261507922,5,1656.3968272182478,6,82.0
A-n32-k5,32,410,12.0,6,2471.1887720837203,2653.0,4.399339234960476,6,1803.7290863337953,5,68.33333333333333
A-n32-k5,32,410,12.0,6,2309.3405968108905,2803.0,4.426324023967986,6,1814.7928498268743,5,68.33333333333333
A-n32-k5,32,410,12.0,6,2469.6915960881734,2738.0,4.4403754066885766,6,1820.5539167423162,5,68.33333333333333
A-n32-k5,32,410,12.0,6,2324.8430373241417,2741.0,4.400503988699817,6,1804.2066353669247,5,68.33333333333333
A-n32-k5,32,410,12.0,6,2514.9485570014826,2616.0,4.393778002851643,6,1801.4489811691735,5,68.33333333333333
A-n32-k5,32,410,12.0,6,2311.247665192447,2791.0,4.421014577628089,6,1812.6159768275163,5,68.33333333333333
A-n32-k5,32,410,12.0,6,2643.21110778444,2657.0,4.050379755148243,5,1660.6556996107797,6,82.0
A-n32-k5,32,410,12.0,6,2777.6006107874236,2572.0,4.047266515761289,5,1659.3792714621286,6,82.0
A-n32-k5,32,410,12.0,6,2738.7063651656254,2480.0,4.391289377376532,6,1800.428644724378,5,68.33333333333333
0,1,2,3,4,5,6,7,8,9,
Grand front ,5,A-n32-k5.vrp,n,3,obj0Min,2411.024285830353,obj0Max,3325.933724740584,obj1Min,2352.0,obj1Max,3091.0,obj2Min,4.307881224056044,obj2Max,4.995828881566223
A-n32-k5,32,410,12.0,5,3325.933724740584,2352.0,4.896424989743045,7,2007.5342457946485,4,58.57142857142858
A-n32-k5,32,410,12.0,5,2448.130785153661,2479.0,4.307881224056044,6,1766.2313018629782,5,68.33333333333333
A-n32-k5,32,410,12.0,5,2411.024285830353,3091.0,4.995828881566223,7,2048.2898414421516,4,58.57142857142858
0,1,2,3,4,5,6,7,8,9,
Grand front ,4,A-n32-k5.vrp,n,6,obj0Min,2394.938332553002,obj0Max,2737.471221636187,obj1Min,2072.0,obj1Max,3101.0,obj2Min,4.444945012754315,obj2Max,4.656648708591681
A-n32-k5,32,410,12.0,4,2494.5198118936214,2759.0,4.457704434125741,6,1827.6588179915539,5,68.33333333333333
A-n32-k5,32,410,12.0,4,2737.471221636187,2072.0,4.591912519344961,7,1882.6841329314339,4,58.57142857142858
A-n32-k5,32,410,12.0,4,2720.157185385708,2073.0,4.587459489488116,7,1880.8583906901276,4,58.57142857142858
A-n32-k5,32,410,12.0,4,2718.1706882272583,2216.0,4.656648708591681,7,1909.2259705225893,4,58.57142857142858
A-n32-k5,32,410,12.0,4,2394.938332553002,3101.0,4.596116548557808,6,1884.4077849087014,5,68.33333333333333
A-n32-k5,32,410,12.0,4,2518.183378027938,2719.0,4.444945012754315,6,1822.427455229269,5,68.33333333333333
0,1,2,3,4,5,6,7,8,9,
Grand front ,3,A-n32-k5.vrp,n,11,obj0Min,2629.64114105558,obj0Max,3199.712707391407,obj1Min,2602.0,obj1Max,3757.0,obj2Min,4.549200390940477,obj2Max,5.969178686180581
