FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
688.0,1.9685497307105968,543.2,1001.135394625817,1330605.2287601708,0.164021164021164,0.17889658587909274,2,4,
704.0,1.9248103977196354,573.8000000000001,904.9349910140662,1195836.4200331785,0.15784832451499117,0.22283717489127347,3,4,
688.0,1.7827065033556164,557.8,775.7891748052691,1004390.0033897674,0.24867724867724866,0.3484449624272119,2,4,
704.0,1.8781716087693199,654.2,771.646604344409,1006345.1252493595,0.26807760141093473,0.3083488139721891,3,4,
704.0,1.6983853662074424,625.2,596.7690052792395,745585.97461198,0.3765432098765432,0.49453549989486695,3,4,
720.0,1.854772493980537,739.5999999999999,643.7120081739288,813803.5144767675,0.36948853615520283,0.4533464203772186,4,4,
720.0,1.7357906506995475,694.4000000000001,553.9865978932869,681027.7164700527,0.4347442680776014,0.5423665673794263,4,4,
720.0,1.8179749409016983,790.4,551.1835829825258,678637.3693658158,0.4144620811287478,0.5381308175237937,4,4,
720.0,1.6578666581231485,663.4000000000001,496.6207903116503,594785.3431148685,0.46825396825396826,0.6040756423067394,4,4,
736.0,1.9137458297545737,667.2,766.9877709416864,998757.5123049902,0.25308641975308643,0.31703326716098207,5,4,
736.0,1.8388309833867749,750.2000000000002,599.0343351606026,757402.737538506,0.3783068783068783,0.45293918086305923,5,4,
736.0,1.7110917414308793,696.8,507.57803478261724,615470.0185883907,0.47001763668430335,0.5768531380561049,5,4,
752.0,1.7561909325215774,758.4000000000001,481.1205174794686,582867.956972103,0.48677248677248675,0.5789322996154528,6,4,
768.0,1.8883667749977222,894.4000000000001,479.0079228474169,578090.438897751,0.48324514991181655,0.5876431284359753,7,4,
768.0,1.6429811199533886,747.4000000000001,347.7405900271426,381684.72824660013,0.5828924162257496,0.7319976678366686,7,4,
768.0,1.6532510147776116,706.4000000000001,400.3866507578115,458495.1222059669,0.5440917107583775,0.6807641096570112,7,4,
784.0,1.7776611722985993,819.8000000000001,412.06776938661153,475515.95517876174,0.544973544973545,0.669581589135077,8,4,
588.0,1.6575560768191748,889.0000000000001,402.6685911129443,449485.9776582239,0.5811287477954145,0.7134788222542426,6,3,
752.0,1.7695187203677132,868.0,386.63422889698677,436487.2674414044,0.5590828924162258,0.6997760874995399,6,4,
736.0,1.6967124220222132,705.6,482.4718865731896,577740.0932252619,0.5035273368606702,0.6044327442056026,5,4,
784.0,1.7592283890688802,780.8000000000001,430.1649932041103,507266.86389985366,0.5502645502645502,0.6340219196424035,8,4,
604.0,1.7072268447943595,872.0000000000001,459.9952419968034,536235.9796215883,0.572310405643739,0.6537284641779914,7,3,
752.0,1.8959357001952892,924.8000000000002,473.19108402145804,560620.0595425636,0.4964726631393298,0.6254322745942608,6,4,
784.0,1.6757976575423765,797.8000000000002,318.5545436530548,337511.1111978337,0.6234567901234568,0.7647243936270968,8,4,
800.0,1.7568274491530174,853.2000000000002,339.0423273395213,351482.62912239146,0.7231040564373897,0.7816289879961925,9,4,
620.0,1.686524549509066,960.2,332.31883914328074,351723.1643354744,0.6675485008818343,0.765594861845704,8,3,
768.0,1.6598471511754858,757.0,357.2666694330011,389280.42037906847,0.6252204585537919,0.739403202326508,7,4,
800.0,1.7648246525210651,839.6,361.711155958888,401785.41053098766,0.6216931216931217,0.7191099127201235,9,4,
604.0,1.6818948256909885,941.0000000000001,362.26873233358054,395452.32531882677,0.6481481481481481,0.7375891474895281,7,3,
800.0,1.8622128825394864,956.1999999999999,355.5494087997777,385137.50116699113,0.6322751322751323,0.7450992758014203,9,4,
784.0,1.7236395296817688,791.4,379.20722665912604,421470.43710069184,0.6340388007054674,0.7184394673969053,8,4,
784.0,1.7916612561392486,848.3999999999999,399.3438644619081,449464.57097358356,0.6014109347442681,0.7035850896302607,8,4,
604.0,1.6946857919456455,932.0000000000001,385.7736880663617,430248.4467026822,0.6375661375661376,0.714499436564112,7,3,
800.0,1.8365691738469392,884.8,397.86944314242896,449464.57097358356,0.6014109347442681,0.6989482452138476,9,4,
620.0,1.6279637086011312,789.0000000000001,437.11084555368285,504650.27016892005,0.6322751322751323,0.6688815779993426,8,3,
736.0,1.752481253186511,787.6000000000001,463.7137411135034,533412.2680933889,0.6014109347442681,0.6742946931757844,5,4,
604.0,1.691145024416344,868.1999999999999,445.558457688134,510625.88102636824,0.6067019400352733,0.6796472990566544,7,3,
768.0,1.5960201342408615,838.8000000000002,203.0868322291369,152722.42421542254,0.746031746031746,0.9035091263887567,7,4,
620.0,1.5606716920718406,911.2,238.60169880946714,210919.44995314203,0.7645502645502645,0.8614753201239527,8,3,
800.0,1.77617209749383,961.4,252.77915855800313,220869.113758642,0.7663139329805997,0.8653830045197902,9,4,
636.0,1.5110701967560618,800.1999999999999,277.35360312137414,264056.51948194474,0.7213403880070547,0.8315833226396158,9,3,
636.0,1.6556489729214947,971.8,269.70593529297497,245288.05852732513,0.7610229276895943,0.8511203901703456,9,3,
752.0,1.6598238819346425,850.2,280.0402821138846,270092.6698467682,0.6410934744268078,0.825278467418646,6,4,
636.0,1.5999580728573435,877.8,300.5524546202275,300956.4527723579,0.7310405643738977,0.8046392966063394,9,3,
800.0,1.8151688530080143,955.0000000000001,303.4014793110881,300519.94024858193,0.681657848324515,0.8110313128251435,9,4,
144.0,0.9900637970521992,854.8000000000002,123.93234585719377,0.0,1.0,1.0,9,0,
620.0,1.580179833627882,990.0000000000001,181.92393133401822,113778.43077905425,0.8227513227513228,0.9316336406122715,8,3,
