FixedVehCost,CostperDel,StaffCost,VehRunCost,Emissions,DelsByCycle,DistByCycle,Cycles,Vans
884.0,4.063308204213538,368.79999999999995,413.15636372755057,549248.2301475133,0.13170731707317074,0.17708315036224215,4,5,
1228.0,4.871800841877512,390.2,379.23834516977985,504189.76445505663,0.14390243902439023,0.17657076071795264,5,7,
1556.0,5.631511882620954,317.6,435.3198718745912,577957.1615568624,0.18048780487804877,0.18749229070431553,5,9,
672.0,3.3346183411616415,252.99999999999997,442.193519876273,595082.0777119714,0.03902439024390244,0.0657569976165313,1,4,
1016.0,4.3171357165898,308.59999999999997,445.4256438018184,597978.7678023186,0.06829268292682927,0.09006903870547767,2,6,
1556.0,5.729790616948889,343.6,449.6141529490445,598728.0534077825,0.13414634146341464,0.16320095374951019,5,9,
852.0,4.097723687995607,350.59999999999997,477.46671207819924,642239.6455156476,0.05853658536585366,0.07071084484674803,2,5,
1476.0,5.44648960405508,273.0,484.060737662583,655343.7679124201,0.0,0.0,0,9,
1508.0,5.623940849753594,324.40000000000003,473.4157483989734,632866.8277879044,0.10975609756097561,0.12975746045601652,2,9,
1392.0,5.257314486560905,332.0,431.49893948997124,572226.9089300733,0.2,0.1964406210060111,5,8,
1524.0,5.281092267975585,312.59999999999997,328.64782986998995,435410.2709531656,0.1073170731707317,0.20384556887677951,3,9,
1556.0,5.625696810053889,421.6,328.9356921220947,428511.93500686437,0.17073170731707318,0.3146700130652901,5,9,
868.0,3.814215884656129,326.99999999999994,368.8285127090129,486792.0462630098,0.13170731707317074,0.23166657271450508,3,5,
1212.0,4.864963823564488,402.2,380.43516766144,501296.9080268823,0.12682926829268293,0.24300107193760215,4,7,
1556.0,5.667456248894802,375.59999999999997,392.05706204686857,516258.8816567128,0.1926829268292683,0.2476705368396011,5,9,
540.0,3.2371807024604577,344.20000000000005,443.0440880087876,585610.1875454476,0.11707317073170732,0.22104484503433955,3,3,
884.0,4.346174877437648,455.2,442.73169974943596,586506.9561256557,0.15365853658536585,0.20446201136561049,4,5,
1572.0,5.807331581817348,360.8,448.20594854511234,591469.1735894919,0.17073170731707318,0.23271724152723547,6,9,
524.0,3.4081714446766855,409.6000000000001,463.75029231744094,614391.6077713688,0.1975609756097561,0.20396459802339684,2,3,
1540.0,5.482504059381385,244.20000000000002,463.62666434636776,614289.812002413,0.1878048780487805,0.20319930300467762,4,9,
1540.0,5.693066210420573,340.6,453.55714627243486,597556.8475450105,0.12682926829268293,0.24406485900059452,4,9,
932.0,3.786464797255588,341.0,279.450566874791,357957.2020832215,0.3463414634146341,0.39975811068983064,7,5,
1408.0,4.96706934241632,309.20000000000005,319.2984303906909,414716.3880861934,0.23658536585365852,0.33134179062154345,6,8,
1604.0,5.711325738815437,401.80000000000007,335.8435529143288,433843.8365522062,0.35121951219512193,0.3597656146056201,8,9,
1228.0,4.58606174174307,313.59999999999997,338.68531411465847,444772.1900909029,0.2658536585365854,0.2657046605056208,5,7,
720.0,3.8631863091458305,493.79999999999995,370.1063867497905,482241.45180876093,0.23414634146341465,0.3135368944288894,4,4,
1440.0,5.41241695250023,437.8,341.2909505250943,444292.2358579179,0.3073170731707317,0.3186973940267298,8,8,
1604.0,5.845057950504346,439.6,352.87375970678187,459973.5775192796,0.3073170731707317,0.31121374665424084,8,9,
704.0,3.8422975354778894,421.80000000000007,449.54198954593477,590255.4657231449,0.23902439024390243,0.26677399074929725,3,4,
1212.0,4.71751425377246,279.8,442.38084404670894,586221.5965816706,0.2,0.20213897332392447,4,7,
1540.0,5.645383301925541,322.6,452.0071537894716,592103.7670341672,0.23902439024390243,0.28167418138929157,4,9,
704.0,4.016980710084897,488.4000000000001,454.56209113480764,597051.9109511574,0.23902439024390243,0.2645405628380713,3,4,
1540.0,5.560325515513725,281.20000000000005,458.5334613606272,602329.9329321046,0.22926829268292684,0.2638710888994731,4,9,
1556.0,5.654867426376346,306.99999999999994,455.4956448143023,599688.7739770733,0.2634146341463415,0.24886905550163754,5,9,
1128.0,4.6009402667688795,426.20000000000005,332.18550937524043,426056.8498925889,0.44878048780487806,0.3939535084213796,9,6,
1292.0,5.048950786157807,428.20000000000005,349.8698223247011,449998.688962628,0.44878048780487806,0.38097882601917354,9,7,
1636.0,5.861895484903249,416.00000000000006,351.37714881033196,450687.9692593802,0.4073170731707317,0.39379071566907414,10,9,
604.0,3.8194791376124475,439.59999999999997,522.3864464211035,673782.990182343,0.424390243902439,0.3674131625571202,7,3,
752.0,4.309197679550017,464.6,550.171048615507,710863.8178235919,0.40487804878048783,0.35869619897615707,6,4,
1128.0,4.824938423508688,480.40000000000015,369.8247536385619,473345.36071570165,0.1926829268292683,0.4032675090378053,9,6,
948.0,4.049268495348756,505.2,207.00008309299008,249238.05502530246,0.36341463414634145,0.592770984724256,8,5,
1080.0,4.275735794134603,438.20000000000005,234.8516755951871,289648.49184493575,0.3024390243902439,0.5334358199292294,6,6,
932.0,3.8041890701865824,333.79999999999995,293.9175187764988,373363.22718920745,0.3804878048780488,0.43486923650827386,7,5,
1392.0,5.180717090314792,456.0,276.0940070290643,347325.11999866395,0.3121951219512195,0.4713068451537941,5,8,
1604.0,5.760497287616205,449.20000000000005,308.60388792264365,394692.5986160616,0.2707317073170732,0.4065440296636741,8,9,
752.0,4.105836912315103,663.0000000000001,268.3931340491921,323280.0163265319,0.3951219512195122,0.591947516234575,6,4,
1424.0,5.759642617850604,659.2,278.25347331874735,341201.14058644586,0.33902439024390246,0.5490830045533679,7,8,
